timestamp,project_id,budget,project_location,tower_type,substation_type,tax_rate,project_size_km,project_start_month,project_end_month,lead_time_days,commodity_price_index,region_risk_flag,quantity_steel_tons,quantity_copper_tons,quantity_cement_tons,quantity_aluminum_tons,quantity_insulators_count,quantity_conductors_tons,quantity_transformers_count,quantity_switchgears_count,quantity_cables_count,quantity_protective_relays_count,quantity_oil_tons,quantity_foundation_concrete_tons,quantity_bolts_count
01-03-2025,P0002,42723471.06,Central,Tension,132 kV GIS,18,100,3,9,48,101.77,Medium,36.1,3.66,27,2.93,82,29.04,1,3,5,5,2.35,17.95,1246
01-04-2025,P0002,42723471.06,Central,Tension,132 kV GIS,18,100,3,9,34,105.69,Medium,54.14,5.58,40.77,4.44,125,44.08,2,4,6,5,2.32,27.2,1246
01-05-2025,P0002,42723471.06,Central,Tension,132 kV GIS,18,100,3,9,41,104.41,Medium,70.18,7.16,53.72,5.77,165,56.88,1,4,7,4,2.29,35.35,1246
01-06-2025,P0002,42723471.06,Central,Tension,132 kV GIS,18,100,3,9,55,108.54,Medium,82.79,8.2,62.27,6.52,187,67.23,2,3,7,4,2.41,42.05,1246
01-07-2025,P0002,42723471.06,Central,Tension,132 kV GIS,18,100,3,9,27,109.96,Medium,60.37,6.17,46.78,4.99,140,48.74,1,4,7,5,2.32,30.8,1246
01-08-2025,P0002,42723471.06,Central,Tension,132 kV GIS,18,100,3,9,28,111.56,Medium,52.82,5.28,38.39,4.15,118,41.29,1,4,6,5,2.31,26.24,1246
01-09-2025,P0002,42723471.06,Central,Tension,132 kV GIS,18,100,3,9,27,105.23,Medium,53.27,5.24,39.57,4.12,122,41.72,2,3,7,5,2.4,26.13,1246
01-01-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,54,101.33,Medium,12.65,1.28,9.65,1.04,27,10.21,1,3,5,4,2.01,6.44,750
01-02-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,54,102.34,Medium,14.97,1.52,11.34,1.24,32,12.19,1,4,7,4,2.01,7.49,750
01-03-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,30,102.72,Medium,19.15,1.92,14.31,1.53,41,15.38,1,3,5,4,2.41,9.54,750
01-04-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,29,105.18,Medium,23.02,2.25,17.31,1.8,49,18.38,1,3,7,5,2.03,11.52,750
01-05-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,41,106.1,Medium,26.54,2.61,19.29,2.06,55,20.91,2,4,5,5,2.11,12.91,750
01-06-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,26,106.33,Medium,28.94,2.91,22.05,2.29,61,23.38,2,3,6,4,2.13,14.68,750
01-07-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,51,105.73,Medium,22.14,2.13,16.16,1.72,46,17.56,2,3,7,5,2.05,10.81,750
01-08-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,50,104.92,Medium,19.89,2.03,14.88,1.62,42,15.83,2,4,6,5,2.11,9.91,750
01-09-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,38,110.65,Medium,23.92,2.43,17.94,1.89,51,18.94,1,3,6,4,2.28,12.03,750
01-10-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,42,108.52,Medium,23.14,2.28,16.86,1.8,48,18.05,1,3,5,4,2.31,11.43,750
01-11-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,42,113.9,Medium,21.02,2.14,15.85,1.67,45,16.88,1,3,6,5,2.03,10.34,750
01-12-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,35,116.77,Medium,18.15,1.82,13.88,1.5,38,15.04,1,4,6,5,2.49,9.21,750
01-01-2025,P0004,32281576.74,West,Terminal,400 kV GIS,18,100,1,6,40,100.52,Low,33.95,3.5,25.52,2.73,220,27.23,3,7,12,8,4.1,17.22,1004
01-02-2025,P0004,32281576.74,West,Terminal,400 kV GIS,18,100,1,6,20,101.76,Low,49.57,4.99,37.34,3.91,311,39.03,3,7,11,9,4.18,24.66,1004
01-03-2025,P0004,32281576.74,West,Terminal,400 kV GIS,18,100,1,6,56,103.9,Low,65.26,6.39,47.21,5.11,403,52.32,3,6,12,9,4.24,32.53,1004
01-04-2025,P0004,32281576.74,West,Terminal,400 kV GIS,18,100,1,6,30,104.07,Low,72.86,7.28,54.28,5.85,455,57.69,3,6,12,9,4.02,35.6,1004
01-05-2025,P0004,32281576.74,West,Terminal,400 kV GIS,18,100,1,6,53,106.36,Low,70.45,7.02,52.51,5.73,453,57.05,2,7,12,8,4.27,35.19,1004
01-06-2025,P0004,32281576.74,West,Terminal,400 kV GIS,18,100,1,6,23,105.87,Low,58.34,5.91,44.42,4.68,383,46.7,2,6,12,9,4.26,29.66,1004
01-04-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,59,102.39,Medium,25.75,2.55,19.06,2.01,10,20.34,1,4,7,5,2.25,12.48,1424
01-05-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,50,105.87,Medium,33.73,3.42,24.72,2.71,14,26.64,2,3,6,5,2.27,17.05,1424
01-06-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,24,106.55,Medium,41.55,4.14,30.87,3.34,18,33.31,1,4,7,5,2.49,20.73,1424
01-07-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,33,105.57,Medium,34.72,3.57,26.56,2.76,14,28.55,1,4,7,5,2.44,17.26,1424
01-08-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,31,111.69,Medium,35.59,3.63,27.66,2.93,15,28.47,2,4,5,4,2.29,18.44,1424
01-09-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,48,105.09,Medium,48.05,4.69,35.21,3.74,20,38.75,2,4,6,4,2.13,23.66,1424
01-10-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,49,114.83,Medium,51.2,5.05,37.93,4.04,21,39.96,2,3,7,5,2.04,25.72,1424
01-11-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,55,111.18,Medium,53.07,5.2,38.77,4.22,22,42.26,2,3,6,4,2.47,25.84,1424
01-12-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,30,111.77,Medium,52.71,5.21,38.23,4.23,22,41.08,1,3,6,4,2.42,25.67,1424
01-04-2025,P0006,10870803.94,West,Suspension,132 kV GIS,28,50,4,9,34,102.81,Medium,10.5,1.07,7.83,0.84,107,8.48,1,4,7,5,2.05,5.3,295
01-05-2025,P0006,10870803.94,West,Suspension,132 kV GIS,28,50,4,9,37,104.22,Medium,16.83,1.65,12.71,1.36,173,13.53,2,3,6,4,2.4,8.45,295
01-06-2025,P0006,10870803.94,West,Suspension,132 kV GIS,28,50,4,9,33,103.99,Medium,22.09,2.21,16.13,1.74,222,17.15,1,4,5,4,2.03,10.7,295
01-07-2025,P0006,10870803.94,West,Suspension,132 kV GIS,28,50,4,9,23,108.23,Medium,17.38,1.7,12.72,1.39,174,13.68,2,3,5,5,2.02,8.72,295
01-08-2025,P0006,10870803.94,West,Suspension,132 kV GIS,28,50,4,9,57,111.56,Medium,14.91,1.5,11.4,1.23,156,11.9,2,4,7,5,2.42,7.61,295
01-09-2025,P0006,10870803.94,West,Suspension,132 kV GIS,28,50,4,9,29,108.68,Medium,15.45,1.53,11.42,1.24,157,12.09,2,3,6,4,2.16,7.61,295
01-04-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,35,105.21,Medium,10.86,1.08,8.12,0.85,126,8.81,2,3,6,5,2.04,5.33,453
01-05-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,52,105.19,Medium,15.25,1.52,11.34,1.21,180,12.25,2,3,5,5,2.44,7.63,453
01-06-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,31,105.08,Medium,19.24,1.92,14.33,1.57,231,15.84,1,4,6,5,2.16,9.74,453
01-07-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,40,107.56,Medium,16.24,1.6,12.16,1.3,190,13.01,2,4,6,4,2.07,8.04,453
01-08-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,54,109.29,Medium,16.32,1.64,12.5,1.33,195,13.33,2,3,7,5,2.32,8.13,453
01-09-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,22,105.53,Medium,20.11,2.02,15.29,1.64,239,16.65,2,3,7,4,2.46,10.14,453
01-10-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,28,112.32,Medium,20.02,1.99,15.29,1.6,233,16.14,2,4,7,4,2.06,10.04,453
01-11-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,25,115.42,Medium,18.85,1.89,13.9,1.49,217,15.1,1,4,7,5,2.44,9.39,453
01-12-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,40,107.73,Medium,15.8,1.58,11.71,1.27,186,12.92,2,3,7,4,2.21,7.88,453
01-01-2025,P0008,12609768.86,West,Suspension,132 kV AIS,18,200,1,7,23,100.82,Medium,11.71,1.14,8.69,0.92,135,9.47,2,4,7,4,2.41,5.86,396
01-02-2025,P0008,12609768.86,West,Suspension,132 kV AIS,18,200,1,7,22,102.67,Medium,15.64,1.61,11.99,1.25,182,12.75,1,4,7,5,2.33,8.05,396
01-03-2025,P0008,12609768.86,West,Suspension,132 kV AIS,18,200,1,7,30,102.41,Medium,20.8,2.07,15.27,1.66,239,16.32,1,4,7,5,2.09,10.24,396
01-04-2025,P0008,12609768.86,West,Suspension,132 kV AIS,18,200,1,7,22,102.19,Medium,24.57,2.42,18.03,1.93,277,18.94,2,4,6,5,2.44,11.96,396
01-05-2025,P0008,12609768.86,West,Suspension,132 kV AIS,18,200,1,7,24,106.09,Medium,25.61,2.51,18.76,2.04,292,20.55,2,4,7,5,2.44,12.52,396
01-06-2025,P0008,12609768.86,West,Suspension,132 kV AIS,18,200,1,7,59,104.17,Medium,23.86,2.41,18.05,1.88,278,19.32,1,3,5,5,2.41,11.72,396
01-07-2025,P0008,12609768.86,West,Suspension,132 kV AIS,18,200,1,7,50,105.66,Medium,14.04,1.41,10.45,1.14,164,11.11,2,3,7,4,2.2,7.22,396
01-04-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,33,104.25,Low,13.2,1.3,9.71,1.05,121,10.16,2,6,12,9,4.08,6.46,725
01-05-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,42,102.86,Low,17.19,1.68,12.92,1.38,162,13.91,2,6,10,8,4.27,8.58,725
01-06-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,21,108.51,Low,21.17,2.16,15.65,1.69,198,17.14,3,7,10,8,4.44,10.73,725
01-07-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,55,109.23,Low,17.79,1.8,13.5,1.41,168,14.59,3,7,11,9,4.12,9.03,725
01-08-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,59,111.39,Low,18.76,1.87,13.86,1.47,172,14.57,3,7,12,8,4.14,9.31,725
01-09-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,40,108.49,Low,24.2,2.41,18.22,1.98,225,19.11,2,7,10,8,4.48,12.19,725
01-10-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,21,110.62,Low,25.41,2.56,19.28,2.06,245,20.85,2,7,12,9,4.47,12.72,725
01-11-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,31,112.74,Low,26.81,2.69,19.69,2.18,249,21.23,2,7,11,9,4.13,13.1,725
01-12-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,24,113.09,Low,27,2.7,19.69,2.11,249,21.14,3,6,10,9,4.37,13.4,725
01-03-2025,P0010,31989492.87,Central,Suspension,132 kV AIS,28,150,3,8,30,102.02,Low,32.43,3.24,23.89,2.57,88,25.86,2,3,6,5,2.35,16.52,946
01-04-2025,P0010,31989492.87,Central,Suspension,132 kV AIS,28,150,3,8,45,102.47,Low,50.28,5.13,38.84,4.07,136,41.04,2,4,6,4,2.13,25.78,946
01-05-2025,P0010,31989492.87,Central,Suspension,132 kV AIS,28,150,3,8,26,105.31,Low,66.45,6.76,50.15,5.37,182,52.91,2,4,7,5,2.19,33.17,946
01-06-2025,P0010,31989492.87,Central,Suspension,132 kV AIS,28,150,3,8,43,106.75,Low,75.58,7.33,56.12,5.97,201,58.64,2,4,7,5,2.25,37.03,946
01-07-2025,P0010,31989492.87,Central,Suspension,132 kV AIS,28,150,3,8,33,105.87,Low,51.86,5.17,38.68,4.09,138,40.53,1,3,6,5,2.21,26.16,946
01-08-2025,P0010,31989492.87,Central,Suspension,132 kV AIS,28,150,3,8,44,106.64,Low,38.67,3.84,28.89,3.17,105,31.52,1,4,6,4,2.35,19.74,946
01-02-2025,P0011,51907552.82,East,Tension,220 kV AIS,18,80,2,7,51,101.87,Medium,55.78,5.5,41.93,4.52,66,45.28,1,3,6,5,2.25,27.97,1722
01-03-2025,P0011,51907552.82,East,Tension,220 kV AIS,18,80,2,7,38,102.83,Medium,89.25,8.91,66.13,7.19,105,71.01,1,3,7,5,2.31,44.65,1722
01-04-2025,P0011,51907552.82,East,Tension,220 kV AIS,18,80,2,7,47,105.47,Medium,116.63,11.71,88.24,9.28,136,91.38,2,4,6,5,2.08,58.39,1722
01-05-2025,P0011,51907552.82,East,Tension,220 kV AIS,18,80,2,7,29,106.36,Medium,128.91,12.79,95.6,10.52,154,104,2,3,5,5,2.37,64.7,1722
01-06-2025,P0011,51907552.82,East,Tension,220 kV AIS,18,80,2,7,55,103.66,Medium,125.9,12.53,94.14,9.95,151,102.1,2,3,7,5,2.12,62.92,1722
01-07-2025,P0011,51907552.82,East,Tension,220 kV AIS,18,80,2,7,31,106.09,Medium,73.73,7.54,56.82,5.9,89,61.16,1,4,7,4,2.37,37.18,1722
01-01-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,25,101.29,Low,27.87,2.82,20.7,2.25,45,22.42,4,13,20,16,8.03,14.04,1088
01-02-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,36,102.95,Low,37.3,3.59,27.58,2.91,60,29.48,5,12,22,16,8.16,18.19,1088
01-03-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,52,103.7,Low,47.48,4.79,35.51,3.8,77,37.95,5,12,21,17,8.45,24.09,1088
01-04-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,23,105.04,Low,55.25,5.68,41.78,4.56,93,44.19,4,12,21,17,8.11,27.98,1088
01-05-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,33,103.61,Low,62.07,6.17,45.81,4.98,100,49.24,4,12,21,16,8.14,30.2,1088
01-06-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,53,106.04,Low,61.94,6.15,45.98,4.99,101,48.6,4,12,20,16,8.44,30.92,1088
01-07-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,20,103.85,Low,40.85,4.06,30.74,3.27,67,32.07,5,13,20,16,8.38,20.12,1088
01-08-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,26,107.54,Low,30.99,3.02,23.55,2.47,51,24.42,4,13,21,16,8.09,15.44,1088
01-03-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,58,104.41,Medium,16.79,1.66,12.67,1.33,97,13.51,4,13,21,17,8.05,8.35,903
01-04-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,21,105.43,Medium,22.54,2.23,17.27,1.77,132,17.94,4,13,20,17,8.14,11.19,903
01-05-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,49,102.8,Medium,28.45,2.87,21.1,2.29,166,22.98,4,12,22,17,8.22,13.97,903
01-06-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,59,107.83,Medium,33.73,3.41,24.99,2.76,198,27.29,5,12,21,17,8.16,17.05,903
01-07-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,58,108.61,Medium,27.49,2.75,20.03,2.19,164,21.9,5,12,20,16,8.42,13.5,903
01-08-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,34,110.39,Medium,26.97,2.63,20.32,2.17,161,21.65,4,13,20,17,8.47,13.37,903
01-09-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,45,112.9,Medium,33.42,3.33,25.44,2.63,199,26.72,5,12,20,16,8.1,16.85,903
01-10-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,36,109.35,Medium,33.94,3.42,25.29,2.73,196,26.81,5,12,20,16,8.09,17.07,903
01-11-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,27,115.57,Medium,32.49,3.22,24.13,2.63,190,25.85,4,12,20,17,8.21,16.01,903
01-12-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,25,117.33,Medium,30.27,2.95,22,2.42,177,23.82,5,13,22,17,8.02,15.12,903
01-02-2025,P0014,21943010.77,West,Terminal,765 kV AIS,18,80,2,7,46,101.43,Low,24.5,2.41,18.09,1.91,118,19.04,4,10,17,13,6.3,11.9,745
01-03-2025,P0014,21943010.77,West,Terminal,765 kV AIS,18,80,2,7,33,104.36,Low,38.35,3.78,28.92,3.03,190,30.07,4,9,17,13,6.21,19.01,745
01-04-2025,P0014,21943010.77,West,Terminal,765 kV AIS,18,80,2,7,45,104.2,Low,50.12,5,38.21,3.97,246,40.42,4,10,15,12,6.34,24.63,745
01-05-2025,P0014,21943010.77,West,Terminal,765 kV AIS,18,80,2,7,46,107.45,Low,56.38,5.52,41.44,4.45,272,45.19,4,10,17,12,6.21,27.74,745
01-06-2025,P0014,21943010.77,West,Terminal,765 kV AIS,18,80,2,7,48,106.75,Low,54.52,5.49,40.58,4.31,271,44.57,3,10,16,12,6.31,27.22,745
01-07-2025,P0014,21943010.77,West,Terminal,765 kV AIS,18,80,2,7,58,108.37,Low,32.29,3.21,24.53,2.62,157,25.82,3,9,17,13,6.48,16.35,745
01-01-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,58,100.62,Low,29.42,3.04,22.64,2.37,30,23.55,2,3,7,4,2.17,14.91,1612
01-02-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,58,101.84,Low,36.46,3.65,27.67,2.97,37,28.73,2,3,7,4,2.41,18.34,1612
01-03-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,24,102.15,Low,46.48,4.61,34.04,3.7,48,36.31,1,3,5,4,2.36,23.37,1612
01-04-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,55,104.88,Low,55.46,5.6,40.8,4.4,57,44.86,2,3,5,5,2.36,27.99,1612
01-05-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,46,104.9,Low,63.17,6.41,46.31,5.09,63,49.53,1,3,6,4,2.07,31.83,1612
01-06-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,40,104.77,Low,68.23,6.76,50.55,5.58,70,55.85,2,4,7,4,2.09,34.03,1612
01-07-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,44,107.84,Low,50.64,5.12,38.45,4.03,52,40.24,1,4,7,4,2.08,25.5,1612
01-08-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,32,106.16,Low,45.28,4.63,33.79,3.64,46,36.88,2,3,7,5,2.3,23.09,1612
01-09-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,52,105.79,Low,52.76,5.2,38.93,4.22,54,41.23,1,4,5,4,2.32,26.68,1612
01-10-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,50,108.04,Low,49,4.83,36.25,3.85,49,38.41,2,4,5,5,2.11,23.87,1612
01-11-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,33,113.98,Low,42.05,4.25,31.16,3.31,43,33.69,2,4,6,4,2.06,21.35,1612
01-03-2025,P0016,19053692.53,North,Suspension,765 kV GIS,12,150,3,8,51,101.98,Low,21.61,2.17,15.92,1.76,141,17.16,3,10,16,13,6.25,10.78,631
01-04-2025,P0016,19053692.53,North,Suspension,765 kV GIS,12,150,3,8,57,102.95,Low,33.43,3.44,25.75,2.75,224,27.56,3,10,15,12,6.15,17.21,631
01-05-2025,P0016,19053692.53,North,Suspension,765 kV GIS,12,150,3,8,37,102.78,Low,45.17,4.43,33.8,3.6,291,34.89,4,10,15,13,6.22,22.42,631
01-06-2025,P0016,19053692.53,North,Suspension,765 kV GIS,12,150,3,8,31,104.49,Low,48.83,4.99,37.67,4.01,329,40,4,9,16,13,6.21,25.09,631
01-07-2025,P0016,19053692.53,North,Suspension,765 kV GIS,12,150,3,8,57,109.67,Low,35.01,3.44,25.38,2.74,223,27.67,3,10,17,13,6.2,17.39,631
01-08-2025,P0016,19053692.53,North,Suspension,765 kV GIS,12,150,3,8,49,109.97,Low,26.3,2.57,19.26,2.04,171,20.62,3,9,15,12,6.14,13.24,631
01-04-2025,P0017,14864293.95,East,Suspension,400 kV AIS,18,150,4,12,39,102.82,Medium,10.29,1,7.54,0.8,100,8.2,2,7,11,9,4.28,4.98,423
01-05-2025,P0017,14864293.95,East,Suspension,400 kV AIS,18,150,4,12,59,103.55,Medium,13.96,1.41,10.78,1.13,137,11.33,2,6,12,8,4.27,7.1,423
01-06-2025,P0017,14864293.95,East,Suspension,400 kV AIS,18,150,4,12,35,106.85,Medium,18.2,1.83,13.82,1.43,177,14.56,3,7,11,8,4.45,9.19,423
01-07-2025,P0017,14864293.95,East,Suspension,400 kV AIS,18,150,4,12,34,108.65,Medium,15.29,1.53,11.46,1.22,146,12.31,2,7,11,9,4.06,7.54,423
01-08-2025,P0017,14864293.95,East,Suspension,400 kV AIS,18,150,4,12,40,106.95,Medium,15.23,1.53,11.49,1.23,151,12.41,2,7,10,8,4.15,7.49,423
01-09-2025,P0017,14864293.95,East,Suspension,400 kV AIS,18,150,4,12,50,108.09,Medium,18.77,1.88,14.09,1.55,189,15.05,3,6,12,8,4.49,9.49,423
01-10-2025,P0017,14864293.95,East,Suspension,400 kV AIS,18,150,4,12,27,105.85,Medium,19.02,1.89,13.99,1.53,181,15,2,7,12,8,4.02,9.35,423
01-11-2025,P0017,14864293.95,East,Suspension,400 kV AIS,18,150,4,12,56,110.18,Medium,17.55,1.73,13.1,1.37,170,13.67,3,6,12,9,4.41,8.86,423
01-12-2025,P0017,14864293.95,East,Suspension,400 kV AIS,18,150,4,12,55,114.86,Medium,14.94,1.5,11.22,1.2,143,11.78,3,7,10,9,4.15,7.47,423
01-01-2025,P0018,16996697.07,East,Transposition,HVDC,18,200,1,9,58,100.81,Medium,12.59,1.29,9.54,1.01,20,10.02,5,12,20,17,8.16,6.33,560
01-02-2025,P0018,16996697.07,East,Transposition,HVDC,18,200,1,9,49,101.93,Medium,16.03,1.64,11.99,1.29,26,12.81,5,12,21,16,8.27,8.03,560
01-03-2025,P0018,16996697.07,East,Transposition,HVDC,18,200,1,9,38,104.43,Medium,21.07,2.12,15.7,1.7,34,16.53,5,12,21,17,8.33,10.66,560
01-04-2025,P0018,16996697.07,East,Transposition,HVDC,18,200,1,9,57,104.9,Medium,25.43,2.49,19.04,1.96,39,19.79,5,12,20,16,8.09,12.52,560
01-05-2025,P0018,16996697.07,East,Transposition,HVDC,18,200,1,9,45,103.39,Medium,27.6,2.81,20.56,2.26,45,22.36,5,12,20,16,8.33,13.88,560
01-06-2025,P0018,16996697.07,East,Transposition,HVDC,18,200,1,9,47,107.17,Medium,29.14,2.93,22.25,2.31,47,23.55,5,12,22,17,8.12,14.81,560
01-07-2025,P0018,16996697.07,East,Transposition,HVDC,18,200,1,9,57,107.92,Medium,19.98,2.06,14.91,1.64,32,15.98,4,12,22,16,8.16,10.21,560
01-08-2025,P0018,16996697.07,East,Transposition,HVDC,18,200,1,9,28,106.23,Medium,16.6,1.69,12.61,1.35,27,13.15,4,12,22,16,8.45,8.34,560
01-09-2025,P0018,16996697.07,East,Transposition,HVDC,18,200,1,9,32,104.98,Medium,16.78,1.68,12.81,1.37,27,13.89,4,13,20,16,8.3,8.5,560
01-02-2025,P0019,49815474.06,North,Terminal,765 kV AIS,18,80,2,12,54,101.04,Medium,27.44,2.75,20.9,2.23,72,21.94,3,10,15,13,6.43,13.89,1704
01-03-2025,P0019,49815474.06,North,Terminal,765 kV AIS,18,80,2,12,42,102.71,Medium,36.73,3.62,27.41,2.95,97,29.39,4,10,15,13,6.18,17.88,1704
01-04-2025,P0019,49815474.06,North,Terminal,765 kV AIS,18,80,2,12,56,104.1,Medium,45.11,4.63,33.92,3.66,123,36.69,3,10,15,12,6.34,22.81,1704
01-05-2025,P0019,49815474.06,North,Terminal,765 kV AIS,18,80,2,12,31,106.84,Medium,54.34,5.51,41.58,4.4,144,43.95,4,10,16,13,6.27,27.11,1704
01-06-2025,P0019,49815474.06,North,Terminal,765 kV AIS,18,80,2,12,38,104.33,Medium,63.1,6.19,46.77,4.88,168,48.92,3,9,16,12,6.04,31.47,1704
01-07-2025,P0019,49815474.06,North,Terminal,765 kV AIS,18,80,2,12,35,107.98,Medium,48.26,4.76,36.28,3.81,130,39.48,3,10,16,12,6.18,24.47,1704
