timestamp,project_id,budget,project_location,tower_type,substation_type,tax_rate,project_size_km,project_start_month,project_end_month,lead_time_days,commodity_price_index,region_risk_flag,quantity_steel_tons,quantity_copper_tons,quantity_cement_tons,quantity_aluminum_tons,quantity_insulators_count,quantity_conductors_tons,quantity_transformers_count,quantity_switchgears_count,quantity_cables_count,quantity_protective_relays_count,quantity_oil_tons,quantity_foundation_concrete_tons,quantity_bolts_count,start_date,end_date,project_duration_days,season
01-04-2025,P0002,42723471.06,Central,Tension,132 kV GIS,18,100,3,9,34,105.69,Medium,59.80615890410959,5.58,40.77,4.44,125,44.08,2,4,6,5,2.32,27.2,1246,2022-07-18,2022-12-31,166,Monsoon
01-05-2025,P0002,42723471.06,Central,Tension,132 kV GIS,18,100,3,9,41,104.41,Medium,78.21705205479452,7.16,53.72,5.77,165,56.88,1,4,7,4,2.29,35.35,1246,2024-07-03,2024-12-24,174,Monsoon
01-06-2025,P0002,42723471.06,Central,Tension,132 kV GIS,18,100,3,9,55,108.54,Medium,107.66102328767124,8.2,62.27,6.52,187,67.23,2,3,7,4,2.41,42.05,1246,2023-04-04,2023-08-15,133,Summer
01-07-2025,P0002,42723471.06,Central,Tension,132 kV GIS,18,100,3,9,27,109.96,Medium,63.04116575342466,6.17,46.78,4.99,140,48.74,1,4,7,5,2.32,30.8,1246,2024-09-16,2025-01-11,117,Monsoon
01-08-2025,P0002,42723471.06,Central,Tension,132 kV GIS,18,100,3,9,28,111.56,Medium,62.949863013698625,5.28,38.39,4.15,118,41.29,1,4,6,5,2.31,26.24,1246,2023-02-22,2023-07-12,140,Winter
01-09-2025,P0002,42723471.06,Central,Tension,132 kV GIS,18,100,3,9,27,105.23,Medium,55.69269041095892,5.24,39.57,4.12,122,41.72,2,3,7,5,2.4,26.13,1246,2024-09-24,2025-01-20,118,Monsoon
01-01-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,54,101.33,Medium,16.27864383561644,1.28,9.65,1.04,27,10.21,1,3,5,4,2.01,6.44,750,2025-05-23,2025-09-24,124,Summer
01-02-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,54,102.34,Medium,17.922986301369864,1.52,11.34,1.24,32,12.19,1,4,7,4,2.01,7.49,750,2022-12-26,2023-05-19,144,Winter
01-03-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,30,102.72,Medium,20.6583904109589,1.92,14.31,1.53,41,15.38,1,3,5,4,2.41,9.54,750,2023-08-04,2023-12-27,145,Monsoon
01-04-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,29,105.18,Medium,27.37172602739726,2.25,17.31,1.8,49,18.38,1,3,7,5,2.03,11.52,750,2024-10-09,2025-02-24,138,Winter
01-05-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,41,106.1,Medium,29.77569863013699,2.61,19.29,2.06,55,20.91,2,4,5,5,2.11,12.91,750,2024-09-06,2025-03-05,180,Monsoon
01-06-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,26,106.33,Medium,31.21952054794521,2.91,22.05,2.29,61,23.38,2,3,6,4,2.13,14.68,750,2023-07-23,2023-12-15,145,Monsoon
01-07-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,51,105.73,Medium,23.665536986301372,2.13,16.16,1.72,46,17.56,2,3,7,5,2.05,10.81,750,2024-07-13,2024-11-27,137,Monsoon
01-08-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,50,104.92,Medium,23.29582191780822,2.03,14.88,1.62,42,15.83,2,4,6,5,2.11,9.91,750,2025-01-16,2025-05-21,125,Winter
01-09-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,38,110.65,Medium,29.523178082191784,2.43,17.94,1.89,51,18.94,1,3,6,4,2.28,12.03,750,2023-10-01,2024-03-20,171,Winter
01-10-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,42,108.52,Medium,27.894794520547944,2.28,16.86,1.8,48,18.05,1,3,5,4,2.31,11.43,750,2023-01-23,2023-06-22,150,Winter
01-11-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,42,113.9,Medium,25.08002739726027,2.14,15.85,1.67,45,16.88,1,3,6,5,2.03,10.34,750,2023-10-02,2024-02-20,141,Winter
01-12-2025,P0003,23286892.97,East,Transposition,220 kV AIS,18,150,1,12,35,116.77,Medium,20.250924657534245,1.82,13.88,1.5,38,15.04,1,4,6,5,2.49,9.21,750,2022-08-04,2023-01-26,175,Monsoon
01-01-2025,P0004,32281576.74,West,Terminal,400 kV GIS,18,100,1,6,40,100.52,Low,38.461164383561645,3.5,25.52,2.73,220,27.23,3,7,12,8,4.1,17.22,1004,2024-11-01,2025-02-06,97,Winter
01-02-2025,P0004,32281576.74,West,Terminal,400 kV GIS,18,100,1,6,20,101.76,Low,54.88010136986301,4.99,37.34,3.91,311,39.03,3,7,11,9,4.18,24.66,1004,2023-09-20,2024-03-06,168,Monsoon
01-03-2025,P0004,32281576.74,West,Terminal,400 kV GIS,18,100,1,6,56,103.9,Low,85.15983013698633,6.39,47.21,5.11,403,52.32,3,6,12,9,4.24,32.53,1004,2022-06-29,2022-11-12,136,Summer
01-04-2025,P0004,32281576.74,West,Terminal,400 kV GIS,18,100,1,6,30,104.07,Low,97.38287945205481,7.28,54.28,5.85,455,57.69,3,6,12,9,4.02,35.6,1004,2024-05-13,2024-10-17,157,Summer
01-05-2025,P0004,32281576.74,West,Terminal,400 kV GIS,18,100,1,6,53,106.36,Low,88.3230684931507,7.02,52.51,5.73,453,57.05,2,7,12,8,4.27,35.19,1004,2023-06-19,2023-09-29,102,Summer
01-06-2025,P0004,32281576.74,West,Terminal,400 kV GIS,18,100,1,6,23,105.87,Low,77.27252876712329,5.91,44.42,4.68,383,46.7,2,6,12,9,4.26,29.66,1004,2022-04-01,2022-08-28,149,Summer
01-04-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,59,102.39,Medium,29.34794520547945,2.55,19.06,2.01,10,20.34,1,4,7,5,2.25,12.48,1424,2024-10-13,2025-01-23,102,Winter
01-05-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,50,105.87,Medium,41.93147260273973,3.42,24.72,2.71,14,26.64,2,3,6,5,2.27,17.05,1424,2025-03-24,2025-06-27,95,Summer
01-06-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,24,106.55,Medium,53.90685616438357,4.14,30.87,3.34,18,33.31,1,4,7,5,2.49,20.73,1424,2025-03-30,2025-08-08,131,Summer
01-07-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,33,105.57,Medium,44.99331506849316,3.57,26.56,2.76,14,28.55,1,4,7,5,2.44,17.26,1424,2023-06-21,2023-10-29,130,Summer
01-08-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,31,111.69,Medium,45.369936986301376,3.63,27.66,2.93,15,28.47,2,4,5,4,2.29,18.44,1424,2024-05-29,2024-09-22,116,Summer
01-09-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,48,105.09,Medium,64.6568698630137,4.69,35.21,3.74,20,38.75,2,4,6,4,2.13,23.66,1424,2022-05-10,2022-10-20,163,Summer
01-10-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,49,114.83,Medium,54.159780821917806,5.05,37.93,4.04,21,39.96,2,3,7,5,2.04,25.72,1424,2024-07-13,2024-11-18,128,Monsoon
01-11-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,55,111.18,Medium,61.79383561643836,5.2,38.77,4.22,22,42.26,2,3,6,4,2.47,25.84,1424,2022-12-03,2023-04-02,120,Winter
01-12-2025,P0005,42577770.86,West,Tension,220 kV AIS,18,80,4,12,30,111.77,Medium,66.87671506849316,5.21,38.23,4.23,22,41.08,1,3,6,4,2.42,25.67,1424,2024-04-25,2024-08-15,112,Summer
01-04-2025,P0006,10870803.94,West,Suspension,132 kV GIS,28,50,4,9,34,102.81,Medium,13.89164383561644,1.07,7.83,0.84,107,8.48,1,4,7,5,2.05,5.3,295,2024-03-22,2024-08-17,148,Summer
01-05-2025,P0006,10870803.94,West,Suspension,132 kV GIS,28,50,4,9,37,104.22,Medium,20.972946575342462,1.65,12.71,1.36,173,13.53,2,3,6,4,2.4,8.45,295,2024-03-27,2024-07-02,97,Summer
01-06-2025,P0006,10870803.94,West,Suspension,132 kV GIS,28,50,4,9,33,103.99,Medium,24.81342465753425,2.21,16.13,1.74,222,17.15,1,4,5,4,2.03,10.7,295,2022-11-02,2023-01-31,90,Winter
01-07-2025,P0006,10870803.94,West,Suspension,132 kV GIS,28,50,4,9,23,108.23,Medium,18.470416438356164,1.7,12.72,1.39,174,13.68,2,3,5,5,2.02,8.72,295,2023-08-29,2024-01-08,132,Monsoon
01-08-2025,P0006,10870803.94,West,Suspension,132 kV GIS,28,50,4,9,57,111.56,Medium,17.687753424657537,1.5,11.4,1.23,156,11.9,2,4,7,5,2.42,7.61,295,2024-10-17,2025-03-02,136,Winter
01-09-2025,P0006,10870803.94,West,Suspension,132 kV GIS,28,50,4,9,29,108.68,Medium,18.666986301369864,1.53,11.42,1.24,157,12.09,2,3,6,4,2.16,7.61,295,2024-02-13,2024-07-14,152,Winter
01-04-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,35,105.21,Medium,12.67495890410959,1.08,8.12,0.85,126,8.81,2,3,6,5,2.04,5.33,453,2022-10-28,2023-02-27,122,Winter
01-05-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,52,105.19,Medium,18.320890410958903,1.52,11.34,1.21,180,12.25,2,3,5,5,2.44,7.63,453,2022-02-02,2022-06-29,147,Winter
01-06-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,31,105.08,Medium,21.63841095890411,1.92,14.33,1.57,231,15.84,1,4,6,5,2.16,9.74,453,2025-02-15,2025-05-17,91,Winter
01-07-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,40,107.56,Medium,20.604778082191782,1.6,12.16,1.3,190,13.01,2,4,6,4,2.07,8.04,453,2023-04-29,2023-08-19,112,Summer
01-08-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,54,109.29,Medium,22.353928767123293,1.64,12.5,1.33,195,13.33,2,3,7,5,2.32,8.13,453,2024-06-20,2024-12-16,179,Summer
01-09-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,22,105.53,Medium,24.68295890410959,2.02,15.29,1.64,239,16.65,2,3,7,4,2.46,10.14,453,2022-01-10,2022-06-25,166,Winter
01-10-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,28,112.32,Medium,24.846739726027394,1.99,15.29,1.6,233,16.14,2,4,7,4,2.06,10.04,453,2023-11-18,2024-05-12,176,Winter
01-11-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,25,115.42,Medium,23.420479452054796,1.89,13.9,1.49,217,15.1,1,4,7,5,2.44,9.39,453,2023-11-14,2024-05-09,177,Winter
01-12-2025,P0007,13277693.82,North,Transposition,220 kV GIS,18,200,4,12,40,107.73,Medium,21.498821917808222,1.58,11.71,1.27,186,12.92,2,3,7,4,2.21,7.88,453,2022-03-26,2022-09-15,173,Summer
01-01-2025,P0008,12609768.86,West,Suspension,132 kV AIS,18,200,1,7,23,100.82,Medium,12.603489041095893,1.14,8.69,0.92,135,9.47,2,4,7,4,2.41,5.86,396,2023-08-02,2023-12-23,143,Monsoon
01-02-2025,P0008,12609768.86,West,Suspension,132 kV AIS,18,200,1,7,22,102.67,Medium,20.05562191780822,1.61,11.99,1.25,182,12.75,1,4,7,5,2.33,8.05,396,2022-03-06,2022-07-05,121,Summer
01-03-2025,P0008,12609768.86,West,Suspension,132 kV AIS,18,200,1,7,30,102.41,Medium,21.771616438356162,2.07,15.27,1.66,239,16.32,1,4,7,5,2.09,10.24,396,2023-08-10,2023-12-07,119,Monsoon
01-04-2025,P0008,12609768.86,West,Suspension,132 kV AIS,18,200,1,7,22,102.19,Medium,32.39537671232877,2.42,18.03,1.93,277,18.94,2,4,6,5,2.44,11.96,396,2022-04-10,2022-09-02,145,Summer
01-05-2025,P0008,12609768.86,West,Suspension,132 kV AIS,18,200,1,7,24,106.09,Medium,28.802479452054797,2.51,18.76,2.04,292,20.55,2,4,7,5,2.44,12.52,396,2022-10-21,2023-01-20,91,Winter
01-06-2025,P0008,12609768.86,West,Suspension,132 kV AIS,18,200,1,7,59,104.17,Medium,27.357287671232875,2.41,18.05,1.88,278,19.32,1,3,5,5,2.41,11.72,396,2022-12-26,2023-04-12,107,Winter
01-07-2025,P0008,12609768.86,West,Suspension,132 kV AIS,18,200,1,7,50,105.66,Medium,16.271013698630135,1.41,10.45,1.14,164,11.11,2,3,7,4,2.2,7.22,396,2022-10-30,2023-02-23,116,Winter
01-04-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,33,104.25,Low,14.402465753424657,1.3,9.71,1.05,121,10.16,2,6,12,9,4.08,6.46,725,2025-07-03,2025-12-05,155,Monsoon
01-05-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,42,102.86,Low,20.651547945205483,1.68,12.92,1.38,162,13.91,2,6,10,8,4.27,8.58,725,2024-01-01,2024-05-27,147,Winter
01-06-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,21,108.51,Low,22.6548,2.16,15.65,1.69,198,17.14,3,7,10,8,4.44,10.73,725,2024-09-18,2025-02-03,138,Monsoon
01-07-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,55,109.23,Low,18.48941506849315,1.8,13.5,1.41,168,14.59,3,7,11,9,4.12,9.03,725,2023-07-05,2023-10-26,113,Monsoon
01-08-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,59,111.39,Low,20.05264109589041,1.87,13.86,1.47,172,14.57,3,7,12,8,4.14,9.31,725,2024-07-09,2024-11-23,137,Monsoon
01-09-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,40,108.49,Low,30.922958904109596,2.41,18.22,1.98,225,19.11,2,7,10,8,4.48,12.19,725,2024-03-20,2024-07-16,118,Summer
01-10-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,21,110.62,Low,28.069347945205482,2.56,19.28,2.06,245,20.85,2,7,12,9,4.47,12.72,725,2024-09-09,2025-02-22,166,Monsoon
01-11-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,31,112.74,Low,34.82361917808219,2.69,19.69,2.18,249,21.23,2,7,11,9,4.13,13.1,725,2024-04-17,2024-08-27,132,Summer
01-12-2025,P0009,23779682.29,West,Tension,400 kV AIS,28,150,4,12,24,113.09,Low,32.95479452054795,2.7,19.69,2.11,249,21.14,3,6,10,9,4.37,13.4,725,2022-11-11,2023-04-21,161,Winter
01-03-2025,P0010,31989492.87,Central,Suspension,132 kV AIS,28,150,3,8,30,102.02,Low,39.67121917808219,3.24,23.89,2.57,88,25.86,2,3,6,5,2.35,16.52,946,2023-10-03,2024-03-14,163,Winter
01-04-2025,P0010,31989492.87,Central,Suspension,132 kV AIS,28,150,3,8,45,102.47,Low,66.14230684931508,5.13,38.84,4.07,136,41.04,2,4,6,4,2.13,25.78,946,2024-03-27,2024-08-17,143,Summer
01-05-2025,P0010,31989492.87,Central,Suspension,132 kV AIS,28,150,3,8,26,105.31,Low,71.84792465753425,6.76,50.15,5.37,182,52.91,2,4,7,5,2.19,33.17,946,2024-08-08,2025-01-02,147,Monsoon
01-06-2025,P0010,31989492.87,Central,Suspension,132 kV AIS,28,150,3,8,43,106.75,Low,92.04194520547945,7.33,56.12,5.97,201,58.64,2,4,7,5,2.25,37.03,946,2024-01-07,2024-06-14,159,Winter
01-07-2025,P0010,31989492.87,Central,Suspension,132 kV AIS,28,150,3,8,33,105.87,Low,58.3957808219178,5.17,38.68,4.09,138,40.53,1,3,6,5,2.21,26.16,946,2024-11-29,2025-03-01,92,Winter
01-08-2025,P0010,31989492.87,Central,Suspension,132 kV AIS,28,150,3,8,44,106.64,Low,48.09912328767123,3.84,28.89,3.17,105,31.52,1,4,6,4,2.35,19.74,946,2022-01-23,2022-07-20,178,Winter
01-02-2025,P0011,51907552.82,East,Tension,220 kV AIS,18,80,2,7,51,101.87,Medium,61.06763835616439,5.5,41.93,4.52,66,45.28,1,3,6,5,2.25,27.97,1722,2023-09-12,2024-02-17,158,Monsoon
01-03-2025,P0011,51907552.82,East,Tension,220 kV AIS,18,80,2,7,38,102.83,Medium,92.09866438356165,8.91,66.13,7.19,105,71.01,1,3,7,5,2.31,44.65,1722,2022-09-08,2022-12-24,107,Monsoon
01-04-2025,P0011,51907552.82,East,Tension,220 kV AIS,18,80,2,7,47,105.47,Medium,143.15134246575343,11.71,88.24,9.28,136,91.38,2,4,6,5,2.08,58.39,1722,2024-02-07,2024-07-22,166,Winter
01-05-2025,P0011,51907552.82,East,Tension,220 kV AIS,18,80,2,7,29,106.36,Medium,155.57494520547945,12.79,95.6,10.52,154,104.0,2,3,5,5,2.37,64.7,1722,2024-12-31,2025-05-31,151,Winter
01-06-2025,P0011,51907552.82,East,Tension,220 kV AIS,18,80,2,7,55,103.66,Medium,132.5571780821918,12.53,94.14,9.95,151,102.1,2,3,7,5,2.12,62.92,1722,2024-09-15,2025-01-17,124,Monsoon
01-07-2025,P0011,51907552.82,East,Tension,220 kV AIS,18,80,2,7,31,106.09,Medium,99.76780000000002,7.54,56.82,5.9,89,61.16,1,4,7,4,2.37,37.18,1722,2024-04-27,2024-10-12,168,Summer
01-01-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,25,101.29,Low,36.57842054794521,2.82,20.7,2.25,45,22.42,4,13,20,16,8.03,14.04,1088,2022-05-05,2022-09-23,141,Summer
01-02-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,36,102.95,Low,43.38041095890411,3.59,27.58,2.91,60,29.48,5,12,22,16,8.16,18.19,1088,2023-01-22,2023-05-21,119,Winter
01-03-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,52,103.7,Low,64.03295890410959,4.79,35.51,3.8,77,37.95,5,12,21,17,8.45,24.09,1088,2022-05-05,2022-10-17,165,Summer
01-04-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,23,105.04,Low,65.46746575342466,5.68,41.78,4.56,93,44.19,4,12,21,17,8.11,27.98,1088,2024-01-20,2024-06-03,135,Winter
01-05-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,33,103.61,Low,83.42888219178083,6.17,45.81,4.98,100,49.24,4,12,21,16,8.14,30.2,1088,2022-06-02,2022-11-11,162,Summer
01-06-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,53,106.04,Low,74.41284931506848,6.15,45.98,4.99,101,48.6,4,12,20,16,8.44,30.92,1088,2025-01-14,2025-06-10,147,Winter
01-07-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,20,103.85,Low,50.698767123287666,4.06,30.74,3.27,67,32.07,5,13,20,16,8.38,20.12,1088,2022-11-17,2023-05-12,176,Winter
01-08-2025,P0012,31000255.62,South,Suspension,HVDC,12,100,1,8,26,107.54,Low,32.20837397260274,3.02,23.55,2.47,51,24.42,4,13,21,16,8.09,15.44,1088,2024-09-08,2024-12-30,113,Monsoon
01-03-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,58,104.41,Medium,17.739900000000002,1.66,12.67,1.33,97,13.51,4,13,21,17,8.05,8.35,903,2022-07-15,2022-11-19,127,Monsoon
01-04-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,21,105.43,Medium,30.80569589041096,2.23,17.27,1.77,132,17.94,4,13,20,17,8.14,11.19,903,2025-06-26,2025-12-20,177,Summer
01-05-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,49,102.8,Medium,36.26790410958904,2.87,21.1,2.29,166,22.98,4,12,22,17,8.22,13.97,903,2022-03-14,2022-07-08,116,Summer
01-06-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,59,107.83,Medium,37.13534383561644,3.41,24.99,2.76,198,27.29,5,12,21,17,8.16,17.05,903,2024-09-21,2025-03-03,163,Monsoon
01-07-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,58,108.61,Medium,29.790875342465753,2.75,20.03,2.19,164,21.9,5,12,20,16,8.42,13.5,903,2023-08-17,2024-01-13,149,Monsoon
01-08-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,34,110.39,Medium,31.80982191780822,2.63,20.32,2.17,161,21.65,4,13,20,17,8.47,13.37,903,2022-10-17,2023-02-25,131,Winter
01-09-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,45,112.9,Medium,41.38586301369863,3.33,25.44,2.63,199,26.72,5,12,20,16,8.1,16.85,903,2023-10-26,2024-04-17,174,Winter
01-10-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,36,109.35,Medium,35.2325095890411,3.42,25.29,2.73,196,26.81,5,12,20,16,8.09,17.07,903,2022-07-06,2022-10-26,112,Monsoon
01-11-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,27,115.57,Medium,36.80716438356164,3.22,24.13,2.63,190,25.85,4,12,20,17,8.21,16.01,903,2024-10-13,2025-01-18,97,Winter
01-12-2025,P0013,28533085.64,South,Suspension,HVDC,18,100,3,12,25,117.33,Medium,38.131906849315065,2.95,22.0,2.42,177,23.82,5,13,22,17,8.02,15.12,903,2025-06-19,2025-10-03,106,Summer
01-02-2025,P0014,21943010.77,West,Terminal,765 kV AIS,18,80,2,7,46,101.43,Low,27.587671232876712,2.41,18.09,1.91,118,19.04,4,10,17,13,6.3,11.9,745,2024-10-01,2025-01-01,92,Winter
01-03-2025,P0014,21943010.77,West,Terminal,765 kV AIS,18,80,2,7,33,104.36,Low,44.496506849315075,3.78,28.92,3.03,190,30.07,4,9,17,13,6.21,19.01,745,2022-11-01,2023-02-26,117,Winter
01-04-2025,P0014,21943010.77,West,Terminal,765 kV AIS,18,80,2,7,45,104.2,Low,55.05647671232877,5.0,38.21,3.97,246,40.42,4,10,15,12,6.34,24.63,745,2022-08-26,2023-02-03,161,Monsoon
01-05-2025,P0014,21943010.77,West,Terminal,765 kV AIS,18,80,2,7,46,107.45,Low,76.2056794520548,5.52,41.44,4.45,272,45.19,4,10,17,12,6.21,27.74,745,2022-04-19,2022-10-03,167,Summer
01-06-2025,P0014,21943010.77,West,Terminal,765 kV AIS,18,80,2,7,48,106.75,Low,70.07687123287671,5.49,40.58,4.31,271,44.57,3,10,16,12,6.31,27.22,745,2025-05-06,2025-09-06,123,Summer
01-07-2025,P0014,21943010.77,West,Terminal,765 kV AIS,18,80,2,7,58,108.37,Low,39.49995890410958,3.21,24.53,2.62,157,25.82,3,9,17,13,6.48,16.35,745,2025-02-01,2025-07-14,163,Winter
01-01-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,58,100.62,Low,33.8128493150685,3.04,22.64,2.37,30,23.55,2,3,7,4,2.17,14.91,1612,2024-11-03,2025-02-20,109,Winter
01-02-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,58,101.84,Low,49.88527123287672,3.65,27.67,2.97,37,28.73,2,3,7,4,2.41,18.34,1612,2023-05-15,2023-11-09,178,Summer
01-03-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,24,102.15,Low,52.65610958904109,4.61,34.04,3.7,48,36.31,1,3,5,4,2.36,23.37,1612,2022-12-12,2023-03-19,97,Winter
01-04-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,55,104.88,Low,56.47803287671233,5.6,40.8,4.4,57,44.86,2,3,5,5,2.36,27.99,1612,2022-09-07,2022-12-12,96,Monsoon
01-05-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,46,104.9,Low,74.24638356164384,6.41,46.31,5.09,63,49.53,1,3,6,4,2.07,31.83,1612,2023-12-09,2024-04-15,128,Winter
01-06-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,40,104.77,Low,72.25837397260274,6.76,50.55,5.58,70,55.85,2,4,7,4,2.09,34.03,1612,2022-09-05,2023-01-12,129,Monsoon
01-07-2025,P0015,47830983.11,West,Terminal,220 kV AIS,12,200,1,11,44,107.84,Low,55.69012602739726,5.12,38.45,4.03,52,40.24,1,4,7,4,2.08,25.5,1612,2023-09-25,2024-03-05,162,Monsoon
